racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
12,,,0,,,,true,0,,,109572
12,,,0,,,,true,1,,,113686
44,,0.026,0,,,,false,,,,3390275
63,,0.082,0,0.082,,,false,,,,3390321
16,,0.13,0,0.104,,,false,,,,3390367
10,,0.608,0,,,,false,,,,3390839
6,,0.97,0,,,,false,,,,3391243
87,,1.104,0,0.134,,,false,,,,3391377
43,,1.321,0,,,,false,,,,3391651
12,2,,0,,,lost_position,false,,,,3391815
63,3,,0,,,lost_position,false,,,,3391815
44,1,,0,,,gained_position,true,1,,,3391815
63,4,,0,,,,false,,,,3391854
16,3,,0,,,gained_position,false,,,,3391854
12,,0.029,0,0.029,,,false,,,,3391912
31,,1.513,0,0.218,,,false,,,,3391916
16,,0.082,0,0.053,,,false,,,,3391936
63,,0.142,0,0.06,,,false,,,,3391996
30,,1.651,0,0.138,,,false,,,,3392026
81,6,,0,,,lost_position,false,,,,3392231
1,7,,0,,,lost_position,false,,,,3392231
10,5,,0,,,gained_position,false,,,,3392231
41,,1.74,0,0.089,,,false,,,,3392268
55,,1.78,0,,,,false,,,,3392283
10,,0.497,0,0.355,,,false,,,,3392314
27,,1.866,0,0.788,,,false,,,,3392389
81,7,,0,,,,false,,,,3392534
1,8,,0,,,,false,,,,3392534
3,9,,0,,,lost_position,false,,,,3392534
6,6,,0,,,gained_position,false,,,,3392534
14,,1.913,0,0.133,,,false,,,,3392575
6,,0.876,0,0.379,,,false,,,,3392630
3,,1.946,0,,,,false,,,,3392731
81,8,,0,,,,false,,,,3392766
1,9,,0,,,,false,,,,3392766
3,10,,0,,,,false,,,,3392766
87,7,,0,,,gained_position,false,,,,3392766
77,,2.009,0,0.096,,,false,,,,3392806
81,9,,0,,,,false,,,,3392856
1,10,,0,,,,false,,,,3392856
3,11,,0,,,,false,,,,3392856
27,12,,0,,,lost_position,false,,,,3392856
43,8,,0,,,gained_position,false,,,,3392856
87,,0.983,0,0.107,,,false,,,,3392856
11,,2.202,0,,,,false,,,,3392861
18,,2.382,0,0.373,,,false,,,,3392877
43,,1.152,0,0.169,,,false,,,,3392896
81,10,,0,,,,false,,,,3393066
1,11,,0,,,,false,,,,3393066
3,12,,0,,,,false,,,,3393066
27,13,,0,,,,false,,,,3393066
31,9,,0,,,gained_position,false,,,,3393066
31,,1.382,0,0.23,,,false,,,,3393154
81,11,,0,,,,false,,,,3393194
1,12,,0,,,,false,,,,3393194
3,13,,0,,,,false,,,,3393194
27,14,,0,,,,false,,,,3393194
30,10,,0,,,gained_position,false,,,,3393194
